d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7309927745,huntsville / decatur,11499,2010,mercedes-benz,m-class,,,gas,94305,clean,automatic,4JGBB8GB0AA574937,,,SUV,black,al
7309924135,huntsville / decatur,4882,2005,honda,pilot,excellent,,gas,135977,rebuilt,automatic,2HKYF18725H548570,,,SUV,silver,al
7309917861,huntsville / decatur,17590,2015,kia,soul ! wagon 4d,good,,gas,25491,clean,other,KNDJX3A59F7772430,fwd,,wagon,green,al
7309917824,huntsville / decatur,40590,2018,lexus,rx 350l sport utility 4d,good,6 cylinders,gas,9173,clean,other,JTJDZKCA3J2004022,,,other,,al
7309917778,huntsville / decatur,33990,2019,acura,rdx sh-awd sport utility,good,,gas,11902,clean,other,5J8TC2H30KL041519,,,SUV,red,al
7309917721,huntsville / decatur,40990,2018,lexus,rx 350l sport utility 4d,good,,other,13742,clean,other,JTJDZKCA0J2003068,,,SUV,,al
7309909094,huntsville / decatur,6900,2003,ford,ranger edge 4x4,good,6 cylinders,gas,247500,clean,automatic,,4wd,mid-size,pickup,white,al
7309891616,huntsville / decatur,10977,2011,audi,q5,,4 cylinders,gas,110574,clean,automatic,WA1LFAFP9BA081111,rwd,,SUV,grey,al
7309889000,huntsville / decatur,4995,2005,ford,freestar ses,,,gas,121724,clean,automatic,2FMZA57605BA66741,,,,silver,al
7309869003,huntsville / decatur,33990,2020,alfa-romeo,romeo giulia sedan 4d,good,,gas,9711,clean,other,ZARFAMAN1L7630118,rwd,,sedan,white,al
7309868921,huntsville / decatur,16990,2018,hyundai,sonata se sedan 4d,good,,gas,31871,clean,other,5NPE24AF5JH692092,fwd,,sedan,red,al
7309851197,huntsville / decatur,20998,2021,chevrolet,malibu,,,gas,4121,clean,automatic,1G1ZD5ST0MF044589,,,sedan,,al
7309850720,huntsville / decatur,11500,2012,nissan,armada,like new,8 cylinders,gas,150000,rebuilt,automatic,,rwd,full-size,SUV,silver,al
7309824903,huntsville / decatur,10500,2012,jeep,liberty limited jet 4x4,excellent,6 cylinders,gas,116000,clean,automatic,,4wd,,,white,al
7309824273,huntsville / decatur,3300,2009,ford,focus ses,good,4 cylinders,gas,260000,clean,automatic,,fwd,compact,sedan,silver,al
7309807895,huntsville / decatur,28990,,,CX-5,,4 cylinders,gas,9193,clean,automatic,JM3KFADM2K0531978,fwd,,SUV,white,al
7309801500,huntsville / decatur,56990,2018,cadillac,escalade esv platinum,good,,other,58874,clean,automatic,1GYS4KKJXJR155824,4wd,,other,black,al
7309767524,huntsville / decatur,8495,2010,hyundai,santa fe gls,excellent,4 cylinders,gas,125082,clean,automatic,5NMSG3AB3AH387585,fwd,mid-size,SUV,green,al
